site_id,domain,year,third_party_script_count,third_party_domain_count,third_party_resource_count,script_norm,domain_norm,tdi
S000533,istripper.com,2022,2,3,3,0.05405405405405406,0.08333333333333333,0.06869369369369369
S000533,istripper.com,2024,2,3,3,0.05405405405405406,0.08333333333333333,0.06869369369369369
S000533,istripper.com,2026,0,2,2,0.0,0.05555555555555555,0.027777777777777776
S000534,infotecs.ru,2022,0,3,5,0.0,0.08333333333333333,0.041666666666666664
S000534,infotecs.ru,2024,1,1,2,0.02702702702702703,0.027777777777777776,0.027402402402402402
S000534,infotecs.ru,2026,2,2,3,0.05405405405405406,0.05555555555555555,0.054804804804804805
S000536,ronpaulinstitute.org,2022,0,4,5,0.0,0.1111111111111111,0.05555555555555555
S000536,ronpaulinstitute.org,2024,37,5,90,1.0,0.1388888888888889,0.5694444444444444
S000536,ronpaulinstitute.org,2026,1,5,13,0.02702702702702703,0.1388888888888889,0.08295795795795796
S000537,sheffieldfinancial.com,2022,3,2,4,0.08108108108108109,0.05555555555555555,0.06831831831831832
S000537,sheffieldfinancial.com,2024,1,2,3,0.02702702702702703,0.05555555555555555,0.04129129129129129
S000537,sheffieldfinancial.com,2026,2,4,5,0.05405405405405406,0.1111111111111111,0.08258258258258258
S000538,herzporno.net,2024,2,7,9,0.05405405405405406,0.19444444444444445,0.12424924924924925
S000538,herzporno.net,2026,3,8,10,0.08108108108108109,0.2222222222222222,0.15165165165165165
S000540,ubisoft.cn,2022,0,0,0,0.0,0.0,0.0
S000541,secureclouddns.net,2022,0,0,0,0.0,0.0,0.0
S000542,kurskmed.com,2022,0,2,2,0.0,0.05555555555555555,0.027777777777777776
S000542,kurskmed.com,2024,0,1,1,0.0,0.027777777777777776,0.013888888888888888
S000542,kurskmed.com,2026,1,1,1,0.02702702702702703,0.027777777777777776,0.027402402402402402
S000544,jdsports.my,2022,17,24,128,0.4594594594594595,0.6666666666666666,0.5630630630630631
S000544,jdsports.my,2024,18,25,163,0.4864864864864865,0.6944444444444444,0.5904654654654655
S000544,jdsports.my,2026,12,7,15,0.32432432432432434,0.19444444444444445,0.2593843843843844
S000546,buyrentkenya.com,2022,2,5,24,0.05405405405405406,0.1388888888888889,0.09647147147147148
S000546,buyrentkenya.com,2024,2,7,35,0.05405405405405406,0.19444444444444445,0.12424924924924925
S000549,chu-rouen.fr,2022,2,4,10,0.05405405405405406,0.1111111111111111,0.08258258258258258
S000549,chu-rouen.fr,2024,0,4,5,0.0,0.1111111111111111,0.05555555555555555
S000549,chu-rouen.fr,2026,0,6,8,0.0,0.16666666666666666,0.08333333333333333
S000550,tam-voyages.com,2022,0,0,0,0.0,0.0,0.0
S000550,tam-voyages.com,2024,0,0,0,0.0,0.0,0.0
S000550,tam-voyages.com,2026,0,0,0,0.0,0.0,0.0
